users_program,user_id,zip,membership_type,bike,checkout_date,checkout_time,checkout_kiosk,return_date,return_time,return_kiosk,duration_minutes
42,Denver B-cycle,773373,80203.0,Annual (Denver B-cycle),100,12/31/15,5:38:00 PM,16th & Broadway,12/31/15,6:10:00 PM,12th & Sherman,32
468,Denver B-cycle,1050982,0.0,24-hour Kiosk Only (Denver B-cycle),781,12/30/15,11:04:00 AM,14th & Welton,12/30/15,11:47:00 AM,Cherry Creek Mall,43
543,Denver B-cycle,916735,80202.0,Monthly (Denver B-cycle),12,12/30/15,7:21:00 AM,18th & California,12/30/15,7:24:00 AM,17th & Blake,3
1301,Denver B-cycle,405241,80201.0,Annual (Denver B-cycle),711,12/24/15,12:10:00 PM,Denver Public Library,12/24/15,12:20:00 PM,9th & Logan,10
1393,Denver B-cycle,394174,80202.0,Annual (Denver B-cycle),436,12/23/15,11:06:00 PM,1350 Larimer,12/23/15,11:12:00 PM,20th & Chestnut,6
1669,Denver B-cycle,27039,80218.0,Annual (Denver B-cycle),313,12/23/15,8:18:00 AM,17th & Pearl,12/23/15,8:23:00 AM,18th & California,5
1949,Denver B-cycle,1046866,80135.0,24-hour Kiosk Only (Denver B-cycle),374,12/22/15,2:17:00 PM,16th & Little Raven,12/22/15,2:46:00 PM,6th & Clarkson,29
2108,Denver B-cycle,946527,80134.0,Annual (Denver B-cycle),532,12/22/15,8:54:00 AM,9th & Logan,12/22/15,9:01:00 AM,15th & Cleveland,7
2744,Denver B-cycle,631762,80206.0,Annual (Denver B-cycle),341,12/20/15,12:23:00 PM,12th & Columbine,12/20/15,12:34:00 PM,16th & Broadway,11
2845,Denver B-cycle,312748,80218.0,Annual (Denver B-cycle),620,12/19/15,4:45:00 PM,13th & Marion,12/19/15,4:51:00 PM,12th & Sherman,6
3146,Denver B-cycle,254379,80204.0,Annual (Denver B-cycle),664,12/18/15,8:34:00 AM,13th & Speer,12/18/15,8:43:00 AM,17th & Larimer,9
3207,Denver B-cycle,394174,80202.0,Annual (Denver B-cycle),920,12/17/15,4:15:00 PM,20th & Chestnut,12/17/15,4:23:00 PM,1350 Larimer,8
4261,Denver B-cycle,1042144,91748.0,24-hour Kiosk Only (Denver B-cycle),349,12/11/15,11:38:00 PM,28th & Larimer,12/11/15,11:52:00 PM,17th & Larimer,14
4309,Denver B-cycle,1042042,78745.0,24-hour Kiosk Only (Denver B-cycle),452,12/11/15,7:38:00 PM,Denver Public Library,12/11/15,7:46:00 PM,14th & Ogden,8
4661,Denver B-cycle,295136,80204.0,Annual (Denver B-cycle),915,12/11/15,2:18:00 PM,1350 Larimer,12/11/15,2:21:00 PM,13th & Speer,3
5221,Denver B-cycle,795031,80218.0,Annual (Denver B-cycle),510,12/10/15,7:01:00 PM,17th & Blake,12/10/15,7:12:00 PM,17th & Pearl,11
6019,Denver B-cycle,596053,80113.0,Annual (Denver B-cycle),327,12/9/15,10:10:00 PM,14th & Ogden,12/9/15,10:26:00 PM,14th & Ogden,16
6134,Denver B-cycle,958474,80218.0,Annual Plus (Denver B-cycle),541,12/9/15,6:03:00 PM,14th & Elati,12/9/15,6:15:00 PM,9th & Downing,12
6515,Denver B-cycle,227823,80205.0,Annual (Denver B-cycle),55,12/9/15,12:16:00 PM,25th & Lawrence,12/9/15,12:20:00 PM,Five Points,4
7294,Denver B-cycle,948297,80211.0,Annual (Denver B-cycle),344,12/8/15,1:47:00 PM,16th & Boulder,12/8/15,1:51:00 PM,16th & Little Raven,4
7341,Denver B-cycle,45558,80305.0,Annual (Denver B-cycle),447,12/8/15,12:52:00 PM,14th & Elati,12/8/15,12:58:00 PM,16th & Sherman,6
8019,Denver B-cycle,1040249,74518.0,24-hour Kiosk Only (Denver B-cycle),348,12/7/15,2:52:00 PM,16th & Little Raven,12/7/15,2:56:00 PM,16th & Little Raven,4
8417,Denver B-cycle,844159,80218.0,30-day Renewing (Denver B-cycle),703,12/7/15,7:08:00 AM,9th & Downing,12/7/15,7:17:00 AM,16th & Broadway,9
8468,Denver B-cycle,737423,80204.0,Annual (Denver B-cycle),745,12/6/15,11:34:00 PM,15th & Curtis,12/6/15,11:38:00 PM,13th & Speer,4
8479,Boulder B-cycle,991015,80112.0,Annual (Boulder B-cycle),855,12/6/15,10:02:00 PM,14th & Stout,12/6/15,10:18:00 PM,6th & Clarkson,16
8654,Denver B-cycle,472340,80203.0,Annual (Denver B-cycle),713,12/6/15,2:19:00 PM,17th & Pearl,12/6/15,2:22:00 PM,14th & Ogden,3
9775,Denver B-cycle,1038420,78741.0,24-hour Kiosk Only (Denver B-cycle),60,12/4/15,11:40:00 AM,25th & Lawrence,12/4/15,12:04:00 PM,12th & Sherman,24
10596,Denver B-cycle,404333,80218.0,Annual Plus (Denver B-cycle),304,12/3/15,9:20:00 AM,1551 Lafayette,12/3/15,9:22:00 AM,17th & Downing,2
10676,Denver B-cycle,44201,80205.0,Annual (Denver B-cycle),575,12/3/15,8:06:00 AM,22nd & Market,12/3/15,8:17:00 AM,Webb Building,11
11649,Denver B-cycle,265186,80206.0,Annual (Denver B-cycle),73,12/1/15,2:37:00 PM,1551 Lafayette,12/1/15,2:46:00 PM,Colfax & Garfield,9
12160,Denver B-cycle,887321,80204.0,Annual Plus (Denver B-cycle),534,11/29/15,7:39:00 PM,15th & Curtis,11/29/15,7:56:00 PM,Five Points,17
