users_program,user_id,zip,membership_type,bike,checkout_date,checkout_time,checkout_kiosk,return_date,return_time,return_kiosk,duration_minutes
Denver B-cycle,253201,80202,Annual (Denver B-cycle),212,12/31/15,11:51:00 PM,32nd & Pecos,12/31/15,11:57:00 PM,15th & Delgany,6
Denver B-cycle,120679,80209,Annual (Denver B-cycle),9,12/31/15,11:29:00 PM,18th & Arapahoe,12/31/15,11:35:00 PM,25th & Lawrence,6
Denver B-cycle,1027135,60439,Annual (Denver B-cycle),322,12/31/15,10:50:00 PM,16th & Broadway,12/31/15,10:59:00 PM,17th & Race,9
Denver B-cycle,986934,80203,Annual Plus (Denver B-cycle),482,12/31/15,10:41:00 PM,22nd & Pennsylvania,12/31/15,10:49:00 PM,33rd & Arapahoe,8
Denver B-cycle,130156,80204,Annual (Denver B-cycle),466,12/31/15,9:38:00 PM,9th & Santa Fe,12/31/15,9:48:00 PM,1st & Broadway,10
Denver B-cycle,1051678,80211,24-hour (Denver B-cycle),611,12/31/15,9:18:00 PM,16th & Little Raven,12/31/15,9:32:00 PM,Broadway & Walnut,14
Denver B-cycle,313863,80205,Annual Plus (Denver B-cycle),210,12/31/15,9:12:00 PM,25th & Lawrence,12/31/15,9:16:00 PM,33rd & Arapahoe,4
Denver B-cycle,395197,80229,Annual (Denver B-cycle),600,12/31/15,9:11:00 PM,19th & Wynkoop,1/1/16,7:37:00 AM,19th & Wynkoop,626
Des Moines B-cycle,253997,80211,Annual (Des Moines B-cycle),180,12/31/15,9:10:00 PM,16th & Little Raven,12/31/15,9:13:00 PM,16th & Platte,3
Boulder B-cycle,254005,80211,Republic Rider (Boulder B-cycle),567,12/31/15,9:10:00 PM,16th & Little Raven,12/31/15,9:13:00 PM,16th & Platte,3
Denver B-cycle,393473,80203,Annual (Denver B-cycle),381,12/31/15,9:05:00 PM,Pepsi Center,12/31/15,9:28:00 PM,7th & Grant,23
Denver B-cycle,356316,80202,Annual (Denver B-cycle),442,12/31/15,9:01:00 PM,Market Street Station,12/31/15,9:07:00 PM,Broadway & Walnut,6
Des Moines B-cycle,253997,80211,Annual (Des Moines B-cycle),222,12/31/15,8:52:00 PM,17th & Tejon,12/31/15,8:55:00 PM,16th & Platte,3
Boulder B-cycle,254005,80211,Republic Rider (Boulder B-cycle),563,12/31/15,8:52:00 PM,17th & Tejon,12/31/15,8:55:00 PM,16th & Platte,3
Denver B-cycle,613848,80203,Annual Plus (Denver B-cycle),318,12/31/15,8:48:00 PM,12th & Sherman,12/31/15,8:54:00 PM,9th & Downing,6
Denver B-cycle,381256,80205,Annual (Denver B-cycle),773,12/31/15,8:22:00 PM,22nd & Market,12/31/15,8:29:00 PM,1550 Glenarm,7
Denver B-cycle,27039,80218,Annual (Denver B-cycle),379,12/31/15,8:19:00 PM,18th & California,12/31/15,8:22:00 PM,1550 Glenarm,3
Denver B-cycle,325956,80218,Annual Plus (Denver B-cycle),199,12/31/15,8:17:00 PM,Five Points,12/31/15,8:24:00 PM,18th & California,7
Denver B-cycle,130446,80204,Annual (Denver B-cycle),156,12/31/15,7:59:00 PM,9th & Santa Fe,12/31/15,8:09:00 PM,1st & Broadway,10
Denver B-cycle,277716,80203,Annual (Denver B-cycle),227,12/31/15,7:57:00 PM,19th & Pearl,12/31/15,8:09:00 PM,20th & Chestnut,12
Denver B-cycle,592083,80202,Annual (Denver B-cycle),583,12/31/15,7:52:00 PM,15th & Delgany,12/31/15,7:57:00 PM,15th & Delgany,5
Denver B-cycle,313863,80205,Annual Plus (Denver B-cycle),210,12/31/15,7:38:00 PM,19th & Pearl,12/31/15,7:43:00 PM,25th & Lawrence,5
Denver B-cycle,1051678,80211,24-hour (Denver B-cycle),537,12/31/15,7:33:00 PM,23rd & Clay,12/31/15,7:38:00 PM,16th & Little Raven,5
Denver B-cycle,728650,80202,Annual Plus (Denver B-cycle),266,12/31/15,7:32:00 PM,13th & Speer,12/31/15,7:39:00 PM,12th & Sherman,7
Denver B-cycle,807031,80206,Annual (Denver B-cycle),792,12/31/15,7:31:00 PM,12th & Columbine,12/31/15,7:45:00 PM,Bayaud & Emerson,14
Denver B-cycle,1051681,80136,24-hour Kiosk Only (Denver B-cycle),656,12/31/15,7:28:00 PM,Ellsworth & Madison,12/31/15,8:03:00 PM,19th & Wynkoop,35
Denver B-cycle,1051681,80136,24-hour Kiosk Only (Denver B-cycle),27,12/31/15,7:27:00 PM,Ellsworth & Madison,12/31/15,8:03:00 PM,19th & Wynkoop,36
Denver B-cycle,661757,80202,Annual (Denver B-cycle),477,12/31/15,7:15:00 PM,18th & Arapahoe,12/31/15,7:17:00 PM,17th & Larimer,2
Denver B-cycle,728650,80202,Annual Plus (Denver B-cycle),266,12/31/15,7:05:00 PM,Pepsi Center,12/31/15,7:32:00 PM,13th & Speer,27
Denver B-cycle,804421,80218,Annual (Denver B-cycle),933,12/31/15,7:02:00 PM,11th & Emerson,12/31/15,7:05:00 PM,9th & Logan,3
Denver B-cycle,350177,80204,Annual (Denver B-cycle),215,12/31/15,6:54:00 PM,1551 Lafayette,12/31/15,7:04:00 PM,11th & Broadway,10
Denver B-cycle,259256,80218,Annual (Denver B-cycle),914,12/31/15,6:51:00 PM,9th & Downing,12/31/15,6:56:00 PM,13th & Marion,5
Denver B-cycle,313863,80205,Annual Plus (Denver B-cycle),210,12/31/15,6:46:00 PM,1st & Broadway,12/31/15,7:38:00 PM,19th & Pearl,52
Denver B-cycle,1051550,76205,24-hour Kiosk Only (Denver B-cycle),933,12/31/15,6:41:00 PM,7th & Grant,12/31/15,6:50:00 PM,11th & Emerson,9
Denver B-cycle,1051550,76205,24-hour Kiosk Only (Denver B-cycle),725,12/31/15,6:41:00 PM,7th & Grant,12/31/15,6:50:00 PM,11th & Emerson,9
Denver B-cycle,259256,80218,Annual (Denver B-cycle),914,12/31/15,6:19:00 PM,13th & Marion,12/31/15,6:22:00 PM,9th & Downing,3
Denver B-cycle,1051673,80239,24-hour Kiosk Only (Denver B-cycle),624,12/31/15,6:11:00 PM,Webb Building,12/31/15,6:32:00 PM,28th & Larimer,21
Denver B-cycle,773373,80203,Annual (Denver B-cycle),607,12/31/15,6:11:00 PM,12th & Sherman,12/31/15,6:15:00 PM,16th & Sherman,4
Denver B-cycle,395197,80229,Annual (Denver B-cycle),600,12/31/15,5:57:00 PM,20th & Chestnut,12/31/15,6:01:00 PM,19th & Wynkoop,4
Denver B-cycle,974373,80110,Annual (Denver B-cycle),335,12/31/15,5:55:00 PM,15th & Cleveland,12/31/15,5:59:00 PM,11th & Delaware,4
Boulder B-cycle,897400,80302,Republic Rider (Boulder B-cycle),376,12/31/15,5:48:00 PM,17th & Blake,12/31/15,5:56:00 PM,14th & Stout,8
Denver B-cycle,957452,80218,Annual (Denver B-cycle),47,12/31/15,5:45:00 PM,13th & Marion,12/31/15,5:51:00 PM,15th & Cleveland,6
Denver B-cycle,773373,80203,Annual (Denver B-cycle),100,12/31/15,5:38:00 PM,16th & Broadway,12/31/15,6:10:00 PM,12th & Sherman,32
Denver B-cycle,975965,80232,Annual Plus (Denver B-cycle),748,12/31/15,5:36:00 PM,17th & Larimer,12/31/15,5:49:00 PM,7th & Grant,13
Denver B-cycle,728650,80202,Annual Plus (Denver B-cycle),55,12/31/15,5:32:00 PM,1350 Larimer,12/31/15,6:24:00 PM,Pepsi Center,52
Denver B-cycle,957452,80218,Annual (Denver B-cycle),47,12/31/15,5:30:00 PM,22nd & Pennsylvania,12/31/15,5:40:00 PM,13th & Marion,10
Denver B-cycle,728650,80202,Annual Plus (Denver B-cycle),55,12/31/15,5:27:00 PM,15th & Cleveland,12/31/15,5:32:00 PM,1350 Larimer,5
Denver B-cycle,924021,80209,Annual Plus (Denver B-cycle),689,12/31/15,5:24:00 PM,28th & Larimer,12/31/15,5:27:00 PM,Five Points,3
Denver B-cycle,237745,80206,Annual (Denver B-cycle),57,12/31/15,5:19:00 PM,14th & Ogden,12/31/15,5:32:00 PM,13th & Pearl,13
Denver B-cycle,957452,80218,Annual (Denver B-cycle),47,12/31/15,5:19:00 PM,22nd & Pennsylvania,12/31/15,5:30:00 PM,22nd & Pennsylvania,11
Denver B-cycle,957452,80218,Annual (Denver B-cycle),47,12/31/15,5:11:00 PM,13th & Marion,12/31/15,5:19:00 PM,22nd & Pennsylvania,8
Denver B-cycle,1038844,80108,Monthly (Denver B-cycle),456,12/31/15,5:10:00 PM,1550 Glenarm,12/31/15,5:25:00 PM,11th & Emerson,15
Denver B-cycle,260154,80206,Annual (Denver B-cycle),786,12/31/15,5:07:00 PM,Five Points,12/31/15,5:25:00 PM,Colfax & Garfield,18
Denver B-cycle,333563,80203,Annual (Denver B-cycle),527,12/31/15,5:05:00 PM,7th & Grant,12/31/15,5:11:00 PM,13th & Pearl,6
Denver B-cycle,763392,80204,Monthly (Denver B-cycle),620,12/31/15,5:05:00 PM,14th & Welton,12/31/15,5:09:00 PM,13th & Speer,4
Denver B-cycle,827884,80211,Annual (Denver B-cycle),250,12/31/15,4:58:00 PM,15th & Delgany,12/31/15,5:02:00 PM,16th & Platte,4
Denver B-cycle,1051550,76205,24-hour Kiosk Only (Denver B-cycle),319,12/31/15,4:56:00 PM,Bayaud & Pennsylvania,12/31/15,5:09:00 PM,7th & Grant,13
Denver B-cycle,1051550,76205,24-hour Kiosk Only (Denver B-cycle),738,12/31/15,4:56:00 PM,Bayaud & Pennsylvania,12/31/15,5:09:00 PM,7th & Grant,13
Denver B-cycle,143369,80202,Annual (Denver B-cycle),296,12/31/15,4:56:00 PM,16th & Broadway,12/31/15,5:14:00 PM,20th & Chestnut,18
Denver B-cycle,844159,80218,Monthly (Denver B-cycle),617,12/31/15,4:51:00 PM,9th & Downing,12/31/15,4:58:00 PM,Colfax & Gaylord,7
Denver B-cycle,620546,80202,Annual Plus (Denver B-cycle),153,12/31/15,4:48:00 PM,18th & Arapahoe,12/31/15,4:54:00 PM,20th & Chestnut,6
Denver B-cycle,259256,80218,Annual (Denver B-cycle),702,12/31/15,4:45:00 PM,11th & Delaware,12/31/15,4:47:00 PM,11th & Broadway,2
Denver B-cycle,1051656,80205,24-hour Kiosk Only (Denver B-cycle),435,12/31/15,4:42:00 PM,9th & Logan,12/31/15,7:00:00 PM,13th & Pearl,138
